Date,Open,High,Low,Close,Spliced,Volume,Open Int
2010-09-01,1441.8,1448.1,1435.6,1439.6,1248.1,109812,386780
2010-09-02,1437.1,1446.7,1436.8,1444.9,1253.4,73901,388993
2010-09-03,1444.7,1447.1,1430.7,1442.6,1251.1,107016,387391
2010-09-07,1441.8,1453.1,1437.9,1450.8,1259.3,109658,390255
2010-09-08,1448.8,1456.2,1446.1,1449.0,1257.5,107213,391435
2010-09-09,1448.2,1452.0,1435.0,1442.4,1250.9,119779,386300
2010-09-10,1437.3,1444.5,1429.4,1438.0,1246.5,103131,383905
2010-09-13,1438.8,1442.5,1433.8,1438.6,1247.1,77440,382927
2010-09-14,1438.1,1468.0,1437.5,1463.2,1271.7,170215,399180
2010-09-15,1461.7,1465.0,1456.0,1460.2,1268.7,102682,395786
2010-09-16,1460.6,1471.0,1457.6,1465.3,1273.8,99894,402467
2010-09-17,1468.3,1475.9,1464.5,1469.0,1277.5,99447,398926
2010-09-20,1469.2,1476.7,1467.1,1472.3,1280.8,81224,398495
2010-09-21,1471.9,1483.9,1463.5,1465.8,1274.3,147878,401318
2010-09-22,1480.2,1489.5,1479.0,1483.6,1292.1,124135,403736
2010-09-23,1484.2,1489.0,1479.7,1487.8,1296.3,106549,411197
2010-09-24,1485.3,1493.1,1482.1,1489.6,1298.1,110500,415041
2010-09-27,1490.7,1492.8,1486.7,1490.1,1298.6,76830,418318
2010-09-28,1488.3,1503.3,1467.7,1499.8,1308.3,205176,429441
2010-09-29,1502.3,1506.3,1497.6,1501.8,1310.3,118743,429432
2010-09-30,1502.3,1509.0,1488.5,1501.1,1309.6,166307,429186
2010-10-01,1501.1,1513.5,1498.8,1509.3,1317.8,114682,429641
2010-10-04,1511.2,1512.8,1504.9,1508.3,1316.8,76022,429249
2010-10-05,1507.6,1534.4,1504.8,1531.8,1340.3,148408,437157
2010-10-06,1532.8,1542.5,1531.5,1539.2,1347.7,136375,444894
2010-10-07,1542.0,1557.5,1518.0,1526.5,1335.0,267432,441487
2010-10-08,1525.7,1542.3,1517.1,1536.8,1345.3,190657,450731
2010-10-11,1540.4,1547.8,1532.6,1545.9,1354.4,107011,436876
2010-10-12,1546.4,1547.8,1532.9,1538.2,1346.7,135278,434107
2010-10-13,1543.0,1567.2,1541.5,1562.0,1370.5,182477,441544
2010-10-14,1564.1,1579.6,1562.6,1569.1,1377.6,184976,444429
2010-10-15,1573.2,1577.9,1554.2,1563.5,1372.0,196829,439619
2010-10-18,1562.5,1567.1,1544.7,1563.6,1372.1,134145,440161
2010-10-19,1562.1,1563.2,1519.9,1527.5,1336.0,252504,432100
2010-10-20,1525.9,1539.6,1522.6,1535.7,1344.2,162768,421344
2010-10-21,1536.7,1541.1,1509.7,1517.1,1325.6,209166,412375
2010-10-22,1517.3,1520.3,1507.1,1516.6,1325.1,147225,408235
2010-10-25,1520.8,1541.0,1520.8,1530.4,1338.9,149218,401854
2010-10-26,1531.8,1535.3,1519.6,1530.1,1338.6,156544,397385
2010-10-27,1531.9,1535.2,1510.1,1514.1,1322.6,160010,392163
2010-10-28,1516.8,1537.7,1514.4,1534.0,1342.5,148655,390270
2010-10-29,1536.0,1551.3,1526.7,1549.1,1357.6,167815,391333
2010-11-01,1551.2,1557.9,1540.6,1542.1,1350.6,126687,391103
2010-11-02,1543.1,1551.4,1541.7,1548.4,1356.9,116112,386902
2010-11-03,1548.8,1556.3,1517.0,1529.1,1337.6,258025,377306
2010-11-04,1540.5,1584.9,1538.2,1574.6,1383.1,241404,391722
2010-11-05,1584.0,1590.2,1563.4,1589.2,1397.7,241404,372983
2010-11-08,1588.5,1601.9,1578.1,1594.7,1403.2,176895,363157
2010-11-09,1601.5,1615.8,1573.7,1601.6,1410.1,310218,351921
2010-11-10,1584.4,1601.5,1574.9,1590.8,1399.3,281249,334299
2010-11-11,1594.5,1609.1,1588.0,1594.8,1403.3,178467,325836
2010-11-12,1599.8,1601.5,1550.8,1557.0,1365.5,301687,315392
2010-11-15,1562.5,1568.1,1546.3,1560.0,1368.5,199636,294636
2010-11-16,1551.3,1555.8,1520.5,1529.9,1338.4,296974,275513
2010-11-17,1532.5,1536.1,1521.6,1528.4,1336.9,174178,255883
2010-11-18,1527.5,1550.5,1525.5,1544.5,1353.0,197603,243665
2010-11-19,1545.3,1554.4,1532.5,1543.8,1352.3,166005,235323
2010-11-22,1548.5,1558.9,1539.4,1549.3,1357.8,182134,208429
2010-11-23,1557.3,1574.4,1547.1,1569.1,1377.6,249519,170040
2010-11-24,1568.6,1572.5,1560.2,1564.5,1373.0,189894,103310
2010-11-26,1563.5,1566.3,1541.5,1553.8,1364.3,107801,316651
2010-11-29,1554.5,1560.2,1544.0,1557.0,1367.5,184840,354297
2010-11-30,1558.0,1580.6,1553.5,1575.6,1386.1,169676,365715
2010-12-01,1577.2,1587.8,1572.5,1577.8,1388.3,163758,364104
2010-12-02,1577.1,1589.2,1573.3,1578.8,1389.3,134387,363839
2010-12-03,1576.6,1606.5,1574.8,1595.7,1406.2,159635,368550
2010-12-06,1604.6,1618.9,1599.3,1605.6,1416.1,144121,374579
2010-12-07,1615.5,1622.0,1586.2,1598.5,1409.0,206639,372177
2010-12-08,1590.8,1594.9,1561.6,1572.7,1383.2,218896,366668
2010-12-09,1572.5,1585.1,1570.6,1582.3,1392.8,125993,358606
2010-12-10,1577.8,1582.5,1562.2,1574.4,1384.9,133225,357294
2010-12-13,1574.5,1589.7,1570.3,1587.5,1398.0,112376,360937
2010-12-14,1590.3,1595.5,1583.3,1593.8,1404.3,134945,360435
2010-12-15,1586.2,1587.5,1567.7,1575.7,1386.2,151373,358691
2010-12-16,1568.4,1576.8,1551.1,1560.5,1371.0,179528,352764
2010-12-17,1559.9,1569.3,1554.9,1568.7,1379.2,104813,348476
2010-12-20,1566.5,1578.4,1566.1,1575.6,1386.1,96158,348393
2010-12-21,1575.6,1582.5,1570.9,1578.3,1388.8,83427,349853
2010-12-22,1575.8,1581.2,1573.0,1576.9,1387.4,61945,351532
2010-12-23,1575.6,1578.5,1562.1,1570.0,1380.5,81033,349695
2010-12-27,1568.4,1576.5,1562.2,1572.4,1382.9,44354,349841
2010-12-28,1573.7,1597.0,1572.6,1595.1,1405.6,105803,358197
2010-12-29,1596.4,1604.4,1591.0,1603.0,1413.5,75104,355093
2010-12-30,1601.7,1604.9,1593.0,1595.4,1405.9,64915,346964
2010-12-31,1594.5,1611.5,1594.1,1610.9,1421.4,44808,345930
2011-01-03,1609.9,1613.9,1602.6,1612.4,1422.9,77199,346860
2011-01-04,1604.3,1607.3,1564.5,1568.3,1378.8,211907,350399
2011-01-05,1570.2,1574.7,1553.5,1563.2,1373.7,202336,335228
2011-01-06,1565.9,1569.5,1553.8,1561.2,1371.7,173240,329289
2011-01-07,1561.2,1568.5,1542.2,1558.4,1368.9,223830,318383
2011-01-10,1559.3,1565.9,1554.5,1563.6,1374.1,118859,306173
2011-01-11,1565.2,1576.3,1561.9,1573.8,1384.3,152145,297587
2011-01-12,1570.6,1578.5,1565.8,1575.3,1385.8,147502,290364
2011-01-13,1576.6,1582.4,1558.6,1576.5,1387.0,201998,277338
2011-01-14,1563.1,1567.3,1544.1,1550.0,1360.5,200388,269770
2011-01-18,1550.7,1565.5,1546.3,1557.7,1368.2,165113,258424
2011-01-19,1557.3,1568.4,1555.0,1559.7,1370.2,137094,244371
2011-01-20,1559.4,1560.4,1531.9,1536.0,1346.5,242891,225141
2011-01-21,1535.0,1539.2,1526.5,1530.5,1341.0,161567,213089
2011-01-24,1532.5,1541.9,1521.3,1534.0,1344.5,182108,176672
2011-01-25,1523.3,1527.5,1511.4,1521.8,1332.3,227628,146812
2011-01-26,1522.4,1535.9,1513.9,1522.5,1334.5,85450,243724
2011-01-27,1533.2,1537.0,1499.0,1507.8,1319.8,185772,296055
